Date,ALI=F,CC=F,CT=F,GC=F,GF=F,HE=F,HG=F,KC=F,LE=F,OJ=F,PA=F,PL=F,SB=F,SI=F,TIO=F,ZC=F,ZS=F,ZW=F
2016-01-05,-0.005151420543240692,-0.020806658130601785,0.0011180273780837524,0.0030695273956511393,0.0008948181744035111,0.028186777594704893,0.008693613513849119,-0.007263934744108358,0.002565445020322077,-0.01044568200727447,-0.014458120351050763,0.006114088886176816,-0.02672014462722372,0.009553446172482216,-0.006197905399328962,0.004267425320056972,0.003759398496240518,0.00654664484451728
2016-01-06,0.008630158481092165,-0.025498528931023223,-0.010848760399888357,0.012518545710656026,0.003278218279043177,-0.004500780982803265,-0.00383056515876401,-0.02479677277851866,-0.0018278194930076985,0.0066854110305254455,-0.05615770727715652,-0.016767908832184375,-0.010295101007007035,0.000573476232015091,-0.013672336617901348,0.0007082152974504652,0.009219245174301394,0.003252032520325132
2016-01-07,0.00046670815183569303,-0.006038242200603783,-0.00919354346490675,0.01447012217651622,-0.02673399721720293,-0.020961800409146303,-0.031242404382455735,-0.012505210822533308,-0.021973998418741147,-0.03774910199281589,-0.02385900026574872,0.003090319525360652,0.022884876696260603,0.027083203080292106,0.00048639246797654856,-0.0007077140835102247,0.0014273479874393757,0.012425715829281536
2016-01-08,0.01041828642512832,0.018224772190347682,-0.0004883408619216212,-0.00893735016714281,-0.026857890910716664,0.005037770628111726,0.0004961188224690272,0.004643335296987239,-0.00486795675862961,-0.04940056734097986,0.0012170509199100898,0.0007986663080514766,-0.019661014362917117,-0.02978723715661502,-0.0019445312966521744,0.011331444759206777,0.002850627137970463,0.02134471718249742
2016-01-11,-0.017236072637734634,-0.03811733510109383,0.0016286396031919281,-0.001184230980416534,0.00015677526113178075,-0.0025062274854775746,-0.02429954122897482,-0.03823531976267058,-0.004891769681914404,0.01566670001793513,-0.03910052283609433,-0.03659785255893255,-0.021438479861610515,-0.0038107887664186046,-0.014369219017407953,-0.014705882352941124,0.0017055144968731728,-0.019853709508881878
2016-01-12,-0.007516442217350483,-0.01447277739490005,0.0014634171152503317,-0.00994074273968304,0.004860515334628834,0.036850933581648704,-0.00736976983245774,-0.0008737306840325143,-0.004726791235772021,-0.006771963414726523,-0.009276816381460717,-0.00887573964497046,-0.0070670975612220355,-0.008300236370820002,-0.003459337420944286,0.014214641080312784,0.011066969353007883,0.026119402985074647
2016-01-13,0.009624487219943134,0.01118881118881121,0.008930008697807024,0.0017502067582830794,0.0034325964863026748,-0.004442673975766143,-0.0012800502180586593,0.0039353264857151515,0.003799391921051276,-0.004924196185487673,0.035433058337413614,0.015164193680037297,0.029893243458523955,0.029476032997964863,0.0022314984826339312,0.0035038542396637062,0.009261857984844246,-0.006753246753246733
2016-01-14,0.013439599937490332,-0.012102351313969528,-0.003862212200303139,-0.012505724676724173,-0.012284191694624913,0.011764681121640308,0.01051009718872642,0.009581867986755865,-0.011733557760347124,-0.008374617833277642,0.009454334023070388,-0.019054354239513183,0.028334474073668847,-0.02884411305527168,0.004205887960014643,0.0,-0.0033370411568409697,-0.01935146443514646
2016-01-15,-0.007247494217424877,0.016800840042002108,-0.007916020458609174,0.016388839916025022,-0.028337530941566214,-0.005212461206026697,-0.01598172632231898,-0.008628127582696488,-0.02297970072670652,-0.02341653014785261,-0.00855132188057861,-0.00995202373257642,0.002688169458695544,0.010700979409674405,0.004927340778211331,0.014664804469273651,-0.0189732142857143,0.010666666666666602
2016-01-19,0.006523765144454741,0.009982788296041267,0.017261054810695953,-0.0014658502848717836,0.014581982861304743,0.013301038741578397,0.017530311705098667,0.006527415056918562,0.01372010943261115,-0.01690246814517804,0.020227898837693603,0.0036332807988959104,-0.011394106931946535,0.016277717877389186,0.012993350512407575,0.0123881624225739,0.005119453924914641,0.0015831134564643357
2016-01-20,-0.008950617283950635,-0.0422631220177232,-0.008003841687685087,0.015781219182118944,-0.009901009399823302,-0.0019888624190097515,-0.008867515985280128,-0.03501948117874898,-0.015854624929414807,-0.03998400542165936,-0.01821656202765487,-0.013032445557959793,-0.038644047106726864,0.002622300285487267,-0.0031462020589396733,0.002719238613188235,-0.010752688172043001,-0.006322444678609096
