Date,ALI=F,BZ=F,CC=F,CL=F,CT=F,GC=F,GF=F,HE=F,HG=F,HO=F,KC=F,LE=F,NG=F,OJ=F,PA=F,PL=F,RB=F,SB=F,SI=F,TIO=F,ZC=F,ZS=F,ZW=F
2022-03-16,3238.75,98.0199966430664,2471.0,95.04000091552734,119.80000305175781,1908.0,157.25,102.375,4.5879998207092285,3.100100040435791,218.60000610351562,139.35000610351562,4.748000144958496,143.85000610351562,2363.39990234375,1007.4000244140625,2.987499952316284,18.559999465942383,24.670000076293945,148.85000610351562,730.0,1649.25,1069.25
2022-03-17,3316.25,106.63999938964844,2504.0,102.9800033569336,121.86000061035156,1942.0999755859375,156.5500030517578,100.3499984741211,4.690499782562256,3.4874000549316406,217.3000030517578,139.47500610351562,4.989999771118164,144.60000610351562,2488.10009765625,1030.5999755859375,3.216599941253662,18.690000534057617,25.583999633789062,149.64999389648438,754.5,1668.5,1098.0
2022-03-18,3357.25,107.93000030517578,2537.0,104.69999694824219,126.86000061035156,1928.199951171875,157.0,99.4000015258789,4.730500221252441,3.598099946975708,220.3000030517578,140.5,4.86299991607666,147.64999389648438,2489.10009765625,1035.199951171875,3.238800048828125,18.93000030517578,25.05500030517578,150.58999633789062,741.75,1668.0,1063.75
2022-03-21,3469.75,115.62000274658203,2521.0,112.12000274658203,130.00999450683594,1928.5999755859375,156.10000610351562,100.625,4.701499938964844,3.8008999824523926,225.85000610351562,140.0500030517578,4.900000095367432,147.8000030517578,2533.39990234375,1044.4000244140625,3.3715999126434326,19.280000686645508,25.281999588012695,150.47000122070312,756.25,1691.0,1119.25
2022-03-22,3460.25,115.4800033569336,2586.0,111.76000213623047,130.0399932861328,1920.699951171875,156.3249969482422,100.25,4.689000129699707,3.8642001152038574,225.0500030517578,139.4250030517578,5.186999797821045,144.6999969482422,2472.60009765625,1024.800048828125,3.330699920654297,19.149999618530273,24.885000228881836,149.67999267578125,753.0,1696.5,1118.25
2022-03-23,3572.75,121.5999984741211,2631.0,114.93000030517578,130.02999877929688,1936.5999755859375,156.10000610351562,102.55000305175781,4.762499809265137,4.114799976348877,225.3000030517578,139.4250030517578,5.23199987411499,146.35000610351562,2515.39990234375,1020.7000122070312,3.438699960708618,19.239999771118164,25.170000076293945,149.57000732421875,757.75,1718.75,1105.75
2022-03-24,3593.5,119.02999877929688,2583.0,112.33999633789062,130.89999389648438,1961.5999755859375,156.77499389648438,102.7750015258789,4.729000091552734,4.15339994430542,221.85000610351562,139.6750030517578,5.401000022888184,149.1999969482422,2526.699951171875,1030.5,3.389699935913086,19.260000228881836,25.899999618530273,149.6300048828125,748.25,1700.75,1085.75
2022-03-25,3571.5,120.6500015258789,2562.0,113.9000015258789,135.89999389648438,1953.800048828125,156.4250030517578,107.4749984741211,4.685999870300293,4.11460018157959,221.85000610351562,140.47500610351562,5.571000099182129,150.89999389648438,2390.39990234375,1007.7999877929688,3.4700000286102295,19.610000610351562,25.594999313354492,149.8699951171875,754.0,1710.25,1102.25
2022-03-28,3585.5,112.4800033569336,2602.0,105.95999908447266,139.07000732421875,1939.5999755859375,156.10000610351562,107.57499694824219,4.714000225067139,3.783400058746338,214.5500030517578,140.3000030517578,5.507999897003174,147.3000030517578,2238.5,990.4000244140625,3.2188000679016113,19.59000015258789,25.176000595092773,150.13999938964844,748.5,1664.25,1057.0
2022-03-29,3431.5,110.2300033569336,2639.0,104.23999786376953,136.80999755859375,1912.0,156.6999969482422,106.05000305175781,4.7164998054504395,3.716099977493286,215.6999969482422,140.89999389648438,5.335999965667725,145.8000030517578,2108.800048828125,972.2999877929688,3.2032999992370605,19.110000610351562,24.715999603271484,150.13999938964844,726.25,1643.0,1014.25
