Date,AGG
2016-01-04,82.64876556396484
2016-01-05,82.68706512451172
2016-01-06,83.00088500976562
2016-01-07,82.99321746826172
2016-01-08,83.17693328857422
2016-01-11,82.93962860107422
2016-01-12,83.12332153320312
2016-01-13,83.31475830078125
2016-01-14,83.28411102294922
2016-01-15,83.38363647460938
2016-01-19,83.29940795898438
2016-01-20,83.36833953857422
2016-01-21,83.25353240966797
2016-01-22,83.31475830078125
2016-01-25,83.26881408691406
2016-01-26,83.37596893310547
2016-01-27,83.39130401611328
2016-01-28,83.46015167236328
2016-01-29,83.70513153076172
2016-02-01,83.60384368896484
2016-02-02,83.85701751708984
2016-02-03,83.8493423461914
2016-02-04,83.93370056152344
2016-02-05,83.85701751708984
2016-02-08,84.17916870117188
2016-02-09,84.1715087890625
2016-02-10,84.37866973876953
2016-02-11,84.43233489990234
2016-02-12,84.20218658447266
2016-02-16,83.99510192871094
2016-02-17,83.94908905029297
2016-02-18,84.20218658447266
2016-02-19,84.21754455566406
2016-02-22,84.24053192138672
2016-02-23,84.25587463378906
2016-02-24,84.28657531738281
2016-02-25,84.50137329101562
2016-02-26,84.34796142578125
2016-02-29,84.44763946533203
2016-03-01,84.19477081298828
2016-03-02,84.1025390625
2016-03-03,84.20247650146484
2016-03-04,84.07179260253906
2016-03-07,84.04872131347656
2016-03-08,84.2562484741211
2016-03-09,84.21784210205078
2016-03-10,84.2562484741211
2016-03-11,84.1025390625
2016-03-14,84.14866638183594
2016-03-15,84.07179260253906
2016-03-16,84.43309020996094
2016-03-17,84.60985565185547
2016-03-18,84.6790542602539
2016-03-21,84.49456024169922
2016-03-22,84.44078826904297
2016-03-23,84.6252212524414
2016-03-24,84.6328353881836
2016-03-28,84.69438934326172
2016-03-29,84.94806671142578
2016-03-30,84.91729736328125
2016-03-31,85.18632507324219
2016-04-01,85.11084747314453
2016-04-04,85.1955795288086
2016-04-05,85.31103515625
2016-04-06,85.29564666748047
2016-04-07,85.48050689697266
2016-04-08,85.39582824707031
2016-04-11,85.45740509033203
2016-04-12,85.31878662109375
2016-04-13,85.35731506347656
2016-04-14,85.21092987060547
2016-04-15,85.4496841430664
2016-04-18,85.4419937133789
2016-04-19,85.43433380126953
2016-04-20,85.22632598876953
2016-04-21,85.11084747314453
2016-04-22,85.11856842041016
2016-04-25,85.02610778808594
2016-04-26,84.98762512207031
2016-04-27,85.24175262451172
2016-04-28,85.41119384765625
2016-04-29,85.40348815917969
2016-05-02,85.34561157226562
2016-05-03,85.49995422363281
2016-05-04,85.53853607177734
2016-05-05,85.75456237792969
2016-05-06,85.6233901977539
2016-05-09,85.67742919921875
2016-05-10,85.7159652709961
2016-05-11,85.7159652709961
2016-05-12,85.63883972167969
2016-05-13,85.80085754394531
2016-05-16,85.65425109863281
2016-05-17,85.53853607177734
2016-05-18,85.18358612060547
2016-05-19,85.23760223388672
2016-05-20,85.29159545898438
2016-05-23,85.27616882324219
2016-05-24,85.22986602783203
2016-05-25,85.24533081054688
2016-05-26,85.3764877319336
2016-05-27,85.3610610961914
2016-05-31,85.41507720947266
2016-06-01,85.36714935302734
2016-06-02,85.58361053466797
2016-06-03,86.0474624633789
2016-06-06,85.9315185546875
2016-06-07,86.00882720947266
2016-06-08,86.03975677490234
2016-06-09,86.10161590576172
2016-06-10,86.2175521850586
2016-06-13,86.28716278076172
2016-06-14,86.2485122680664
2016-06-15,86.43403625488281
2016-06-16,86.48812103271484
2016-06-17,86.42631530761719
2016-06-20,86.18666076660156
2016-06-21,86.12479400634766
2016-06-22,86.1789321899414
2016-06-23,86.03199768066406
2016-06-24,86.49591827392578
2016-06-27,86.84375
2016-06-28,86.95204162597656
2016-06-29,86.89018249511719
2016-06-30,87.06793975830078
2016-07-01,87.25541687011719
2016-07-05,87.48780822753906
2016-07-06,87.6504135131836
2016-07-07,87.58846282958984
2016-07-08,87.72020721435547
2016-07-11,87.48780822753906
2016-07-12,87.22445678710938
2016-07-13,87.34838104248047
2016-07-14,87.27091979980469
2016-07-15,86.9533462524414
2016-07-18,86.96878814697266
2016-07-19,87.14700317382812
2016-07-20,87.06957244873047
2016-07-21,87.14700317382812
2016-07-22,87.1624755859375
2016-07-25,87.06175994873047
2016-07-26,87.06175994873047
2016-07-27,87.31742858886719
2016-07-28,87.30963897705078
2016-07-29,87.5420150756836
2016-08-01,87.33792877197266
2016-08-02,87.08187866210938
2016-08-03,87.17499542236328
2016-08-04,87.33792877197266
2016-08-05,87.0430679321289
2016-08-08,87.09736633300781
2016-08-09,87.3224105834961
2016-08-10,87.42330169677734
2016-08-11,87.19050598144531
2016-08-12,87.40001678466797
2016-08-15,87.24478912353516
2016-08-16,87.19050598144531
2016-08-17,87.35342407226562
2016-08-18,87.47762298583984
2016-08-19,87.28360748291016
2016-08-22,87.41552734375
2016-08-23,87.43879699707031
2016-08-24,87.40778350830078
2016-08-25,87.31462097167969
2016-08-26,87.17499542236328
2016-08-29,87.41552734375
2016-08-30,87.36900329589844
2016-08-31,87.35342407226562
2016-09-01,87.42964935302734
2016-09-02,87.3130111694336
2016-09-06,87.49962615966797
2016-09-07,87.5462646484375
2016-09-08,87.24307250976562
2016-09-09,86.86212921142578
2016-09-12,86.93209075927734
2016-09-13,86.69109344482422
2016-09-14,86.79994201660156
2016-09-15,86.85431671142578
2016-09-16,86.91655731201172
2016-09-19,86.84656524658203
2016-09-20,86.87769317626953
2016-09-21,87.09532928466797
2016-09-22,87.2741470336914
2016-09-23,87.25088500976562
2016-09-26,87.35968780517578
2016-09-27,87.46849060058594
