year,ALI=F,CC=F,CT=F,GC=F,GF=F,HE=F,HG=F,KC=F,LE=F,OJ=F,PA=F,PL=F,SB=F,SI=F,TIO=F,ZC=F,ZS=F,ZW=F
2016,0.0002939538435298803,0.00029375406892393895,0.0002937951460709924,0.0002938202942264991,0.00029391263533132375,0.00029394690232152247,0.0002938342294789425,0.0002938411801834808,0.00029391615769450006,0.00029392062354394134,0.0002938603003159725,0.0002938540268977395,0.0002938316457147097,0.00029382106022351833,0.00029396771383380805,0.0002938370752190456,0.0002940468198728211,0.0002939600821699918
2017,0.0002502717311741226,0.000250229313017642,0.0002502124052990494,0.0002500623049404155,0.00025024685132012765,0.0002501268863410161,0.000250148121248555,0.0002500914209449073,0.0002500515778330753,0.00025031894659719134,0.0002501532883885564,0.00025013310309943414,0.00025020317276276005,0.0002503428384721541,0.0002501950671314338,0.0002502169609022137,0.00025022381866018103,0.0002502523004629314
2018,0.00011603985115368243,0.00011604804125552972,0.00011607318951786985,0.00011605461990530307,0.00011597852538475364,0.00011607359672386762,0.00011607887324551455,0.00011627021507686525,0.0001160257712725727,0.00011609399155858303,0.00011604709060184518,0.00011595244580272651,0.00011598954744220134,0.0001160951622112951,0.00011603378583741861,0.00011597859071388249,0.00011609155526630114,0.00011592123554539851
2019,0.0002483218681014859,0.0002482592781320971,0.00024819561761906883,0.00024834031890993004,0.0002482918588186149,0.000248404384229823,0.0002485374670594701,0.00024843639097581064,0.0002481666817871307,0.00024844959092380547,0.00024827255734731214,0.00024837956521209665,0.00024834842940086964,0.00024837811024456266,0.00024830566228024235,0.000248205161133462,0.0002484863185091436,0.0002482519078449293
2020,0.0004148001738829859,0.0004148373914155152,0.0004147252528473694,0.00041471768479613895,0.0004148451880602299,0.00041487119833810276,0.00041481127501438215,0.0004148322076020979,0.0004148183288324478,0.00041480172432993985,0.0004148035345302451,0.00041480057856404384,0.00041477178718686466,0.0004148163907251003,0.0004148496548034126,0.0004147889086863258,0.0004148392540726919,0.00041480236272814454
2021,0.0003565175690118104,0.0003562864423482473,0.0003562657458084029,0.0003563677715265296,0.00035647264729138275,0.000356439420390883,0.0003563868924168734,0.0003562667346865047,0.00035615000507170896,0.00035646130190891126,0.0003563187571172445,0.0003563075806593581,0.0003562844795415651,0.0003562805753843879,0.0003562521186333453,0.00035634431165167943,0.00035615605990286045,0.0003564474168731552
2022,0.00038709015362607376,0.0003871233346673306,0.00038710304953525553,0.0003870794628020063,0.0003870948720830025,0.00038700784953694267,0.00038718798679188946,0.00038713913095758115,0.00038708207383332565,0.00038703266554100473,0.00038704301883872035,0.00038711972628547534,0.000387061854855851,0.0003870556997871593,0.000387123308155131,0.00038717219288402394,0.0003870215343150297,0.00038707470550009796
2023,0.00031562561911361757,0.0003156186202546592,0.0003157426343586892,0.000315662050751794,0.0003156845787032001,0.0003157617487052744,0.0003156485723958029,0.00031568047963410125,0.00031560373478661634,0.0003156154347127925,0.00031569000288897257,0.000315750295189828,0.000315532099049592,0.00031559913160792455,0.0003156322259456299,0.0003155850595884178,0.00031559784992229973,0.00031572256119179355
2024,0.00029957151724366874,0.00029970787414246417,0.00029971859456564366,0.00029952745322458314,0.0002992253982362472,0.0002995596689517242,0.00029974487172673887,0.0002995604790460104,0.00029999321358235447,0.00029959972979921715,0.0002996109960418262,0.0002996605636243064,0.0002995442546128714,0.0002996827324862498,0.0002997185416177552,0.000299612154918463,0.00029954485860479924,0.00029952934164456744
