year,BTC-USD,LTC-USD,ADA-USD,BCH-USD,BNB-USD,DASH-USD,DOGE-USD,ETC-USD,ETH-USD,FIL-USD,LINK-USD,TRX-USD,XLM-USD,XMR-USD,XRP-USD,ZEC-USD,VET-USD,ATOM-USD,AAVE-USD,AVAX-USD,DOT-USD,NEAR-USD,SOL-USD,TON-USD,ICP-USD,SHIB-USD
2016,0.5329934908191251,0.46700650918087494,,,,,,,,,,,,,,,,,,,,,,,,
2017,0.6543283020616794,0.34567169793832064,,,,,,,,,,,,,,,,,,,,,,,,
2018,0.08934357302578558,0.07172164011200118,0.05121248025358561,0.05454103535410029,0.06751248868752427,0.061305157835601136,0.06499440593074093,0.06405033054828986,0.06351229859568752,0.08127062947167522,0.05333072392126579,0.04258083721715608,0.05273751324095429,0.0618082703793996,0.05928127546330249,0.060797339962930186,,,,,,,,,,
2019,0.0653839513031924,0.05097854317321516,0.050944799168077724,0.0447360388443805,0.0628543642402382,0.0565015835537073,0.08539769986748215,0.06136300629839762,0.05418880395487645,0.05864395015066085,0.06057120692823681,0.05466419602491765,0.05712900190910659,0.056597624610598356,0.06322886317832707,0.05715397790218659,0.05966238889239854,,,,,,,,,
2020,0.07790568139138508,0.05440007633517861,0.04694869818594905,0.05084116558479933,0.062289348691802526,0.05153258362204416,0.06806413834478638,0.05796775046914567,0.05347112852490583,0.0547024677354682,0.05077064599465957,0.059001893353791475,0.05217903767334343,0.06611983282298695,0.04856884488766602,0.04936238063927668,0.0437803780542569,0.052093947688554104,,,,,,,,
2021,0.06482096753731752,0.04353381048776514,0.04187452171018851,0.04184088223322578,0.041942111838877576,0.0414019974868137,0.023551856615674823,0.040106094265698305,0.046559433898537596,0.0453651138644779,0.03844335351928286,0.04073178845679413,0.0391746506974483,0.048075999876477274,0.040773176084723764,0.041902828846699484,0.03471452611237637,0.03756491220579468,0.04109121085675551,0.03521733261134358,0.03743816924021752,0.042861939445791856,0.04550546142913129,0.04550786067858657,,
2022,0.05268529667689841,0.0399334922612836,0.037201083125114,0.04093827796713598,0.04607903358333961,0.0380775161752567,0.03886203283726154,0.031008409565155038,0.03800554648473879,0.03355330636183932,0.03481007182036009,0.06318852775652797,0.042226533150017946,0.04568975502742467,0.04240352533426293,0.038496209387176704,0.036038316915593574,0.03404497914888231,0.029808077347189425,0.030606626384799076,0.035545756863068566,0.03087095641938398,0.029233321488747303,0.04234661542421265,0.03497634499477941,0.0333703874995505
2023,0.04805722543736612,0.034722733609576596,0.03335379273194578,0.037491375341321485,0.05243851860696366,0.03305933191141895,0.03927046098825547,0.03609509707140654,0.04396829958955128,0.02478878555879258,0.029588450914112278,0.062426398997684464,0.035140814140968285,0.07666728499512745,0.0341242828080978,0.034494655156003716,0.03195422787072548,0.038200463465148445,0.031395282880907226,0.0313095702356888,0.03403910351692859,0.027807166545410326,0.025574275871560755,0.05198717048149814,0.031478969016238555,0.040566262257301276
2024,0.05367702503772548,0.04388702470583606,0.03216942737495361,0.03317598082888877,0.057508096710714426,0.03462077855886478,0.02794709185235864,0.03347185840345733,0.04337793087122643,0.029742997846874748,0.032773531097929,0.06321374229923449,0.03868723307732541,0.07057714692799145,0.040382165799852265,0.03619452363036025,0.02864365814415287,0.03454878765792501,0.03443974121400387,0.031079094225715687,0.03208697569028746,0.02750170277151132,0.04112384649502701,0.042140154268908867,0.031220171938977012,0.025809312569897772
