Date,AAVE-USD,ADA-USD,ATOM-USD,AVAX-USD,BCH-USD,BNB-USD,BTC-USD,DASH-USD,DOGE-USD,DOT-USD,ETC-USD,ETH-USD,FIL-USD,ICP-USD,LINK-USD,LTC-USD,NEAR-USD,SHIB-USD,SOL-USD,TON-USD,TRX-USD,VET-USD,XLM-USD,XMR-USD,XRP-USD,ZEC-USD
2016-01-05,,,,,,,-0.0026114880105213567,,,,,,,,,-0.007358229413982675,,,,,,,,,,
2016-01-06,,,,,,,-0.006609363193875617,,,,,,,,,-0.004643076466597562,,,,,,,,,,
2016-01-07,,,,,,,0.06744967414278147,,,,,,,,,0.04360136334255449,,,,,,,,,,
2016-01-08,,,,,,,-0.010518533255044149,,,,,,,,,-0.009783183133480255,,,,,,,,,,
2016-01-11,,,,,,,-0.010595066162266686,,,,,,,,,-0.0034353069630451705,,,,,,,,,,
2016-01-12,,,,,,,-0.028405912064368044,,,,,,,,,-0.01769654457217995,,,,,,,,,,
2016-01-13,,,,,,,-0.007617802165628129,,,,,,,,,-0.005054813998731755,,,,,,,,,,
2016-01-14,,,,,,,-0.004775996611502853,,,,,,,,,-0.00288549286891826,,,,,,,,,,
2016-01-15,,,,,,,-0.1533211392380016,,,,,,,,,-0.1353755027716067,,,,,,,,,,
2016-01-19,,,,,,,0.04341654550300644,,,,,,,,,0.0068941205336194855,,,,,,,,,,
2016-01-20,,,,,,,0.10543504141779825,,,,,,,,,0.12298170813177967,,,,,,,,,,
2016-01-21,,,,,,,-0.023720384830985597,,,,,,,,,-0.049505277915078416,,,,,,,,,,
2016-01-22,,,,,,,-0.06768842705359057,,,,,,,,,-0.044774826725728745,,,,,,,,,,
2016-01-25,,,,,,,0.024141704095695937,,,,,,,,,0.016482629123989234,,,,,,,,,,
2016-01-26,,,,,,,0.0010900525845980447,,,,,,,,,0.008806364802047772,,,,,,,,,,
2016-01-27,,,,,,,0.007188443331437089,,,,,,,,,0.04204046862995736,,,,,,,,,,
2016-01-28,,,,,,,-0.037174746465929775,,,,,,,,,-0.05088745638142911,,,,,,,,,,
2016-01-29,,,,,,,-0.0021431133644858047,,,,,,,,,-0.002813958997165078,,,,,,,,,,
2016-02-01,,,,,,,-0.016912882790638073,,,,,,,,,-0.010972658086076725,,,,,,,,,,
2016-02-02,,,,,,,0.0037313387049842106,,,,,,,,,-0.0004451889224971195,,,,,,,,,,
2016-02-03,,,,,,,-0.012015000596581338,,,,,,,,,-0.00921368617673457,,,,,,,,,,
2016-02-04,,,,,,,0.053101883614825374,,,,,,,,,0.03781426252479303,,,,,,,,,,
2016-02-05,,,,,,,-0.007815785037633582,,,,,,,,,-0.008018321647862758,,,,,,,,,,
2016-02-08,,,,,,,-0.03389484873332205,,,,,,,,,-0.023984723750614667,,,,,,,,,,
2016-02-09,,,,,,,0.006913968501225609,,,,,,,,,0.006332088358197874,,,,,,,,,,
2016-02-10,,,,,,,0.014945643131907493,,,,,,,,,0.004445817498657911,,,,,,,,,,
2016-02-11,,,,,,,-0.005227303585499055,,,,,,,,,-0.006341961386394979,,,,,,,,,,
2016-02-12,,,,,,,0.012140024574571084,,,,,,,,,0.01178627892761952,,,,,,,,,,
2016-02-16,,,,,,,0.06044039127889933,,,,,,,,,0.03121590355106063,,,,,,,,,,
2016-02-17,,,,,,,0.021679127316867275,,,,,,,,,0.009978184284289204,,,,,,,,,,
2016-02-18,,,,,,,0.014534410875089776,,,,,,,,,0.0032088740030888907,,,,,,,,,,
2016-02-19,,,,,,,-0.003759667949825962,,,,,,,,,0.0004182589078367549,,,,,,,,,,
2016-02-22,,,,,,,0.04031270608530435,,,,,,,,,0.07096676070625718,,,,,,,,,,
2016-02-23,,,,,,,-0.03886252811778146,,,,,,,,,-0.02488782220297403,,,,,,,,,,
2016-02-24,,,,,,,0.01002765205857803,,,,,,,,,-0.006494074821742135,,,,,,,,,,
2016-02-25,,,,,,,-0.0009671147241367972,,,,,,,,,-0.0027704952324690835,,,,,,,,,,
2016-02-26,,,,,,,0.017920407767467728,,,,,,,,,0.015233903848494101,,,,,,,,,,
2016-02-29,,,,,,,0.01283109370494806,,,,,,,,,0.008581154103368238,,,,,,,,,,
2016-03-01,,,,,,,-0.005880792374806099,,,,,,,,,-0.003812984237686501,,,,,,,,,,
2016-03-02,,,,,,,-0.02558810389315269,,,,,,,,,-0.019793359501962482,,,,,,,,,,
2016-03-03,,,,,,,-0.005514323767648155,,,,,,,,,-0.012329816024849838,,,,,,,,,,
2016-03-04,,,,,,,-0.02540490972492626,,,,,,,,,-0.02205482896391986,,,,,,,,,,
2016-03-07,,,,,,,0.008229978369405089,,,,,,,,,0.0053903725176971395,,,,,,,,,,
2016-03-08,,,,,,,-0.0008424133193374317,,,,,,,,,-0.00414046846997751,,,,,,,,,,
2016-03-09,,,,,,,0.0021450738715433904,,,,,,,,,0.007875926392104882,,,,,,,,,,
2016-03-10,,,,,,,0.005474200191670997,,,,,,,,,0.002347658099100647,,,,,,,,,,
