Date,Daily Returns
2018-01-02,1.0084373037309937
2018-01-03,1.0110867397621177
2018-01-04,1.014576511740018
2018-01-05,1.0319255946199384
2018-01-08,1.0198803535961096
2018-01-09,1.013874847968177
2018-01-10,1.0143032338069473
2018-01-11,1.003205219112628
2018-01-12,1.0123966545296847
2018-01-16,0.9814748032484556
2018-01-17,0.9864310125226493
2018-01-18,0.9883656694308757
2018-01-19,0.9934270538789353
2018-01-22,0.9899079269907028
2018-01-23,0.9917030756626455
2018-01-24,0.9970224624051542
2018-01-25,0.9978187654592905
2018-01-26,1.0026012009429717
2018-01-29,0.9993293986787448
2018-01-30,0.9797367467735456
2018-01-31,0.9804420495494016
2018-02-01,0.9671523878108561
2018-02-02,0.9469809413210358
2018-02-05,0.9048707567121447
2018-02-06,0.9202203798742168
2018-02-07,0.9160435439120483
2018-02-08,0.8949888993606286
2018-02-09,0.9122672405948515
2018-02-12,0.9223396333708301
2018-02-13,0.9226557274202858
2018-02-14,0.9470279680078019
2018-02-15,0.9633909477425069
2018-02-16,0.9663992902279126
2018-02-20,0.9679387620189552
2018-02-21,0.9544398364319044
2018-02-22,0.9479367719007443
2018-02-23,0.9655542941605739
2018-02-26,0.9741802333939642
2018-02-27,0.9643494949330482
2018-02-28,0.9524565391012109
2018-03-01,0.952641099023625
2018-03-02,0.9523767023096743
2018-03-05,0.9613882910229532
2018-03-06,0.9588865292186172
2018-03-07,0.9472858660660005
2018-03-08,0.9414102554666369
2018-03-09,0.9446900566867635
2018-03-12,0.9410424040547384
2018-03-13,0.9420416551722787
2018-03-14,0.9384170549474717
2018-03-15,0.9344181457816261
2018-03-16,0.9325058771559215
2018-03-19,0.9255134338248946
2018-03-20,0.9282462018907024
2018-03-21,0.9315744824226351
2018-03-22,0.9286187812675788
2018-03-23,0.9291021088546817
2018-03-26,0.9237533261842734
2018-03-27,0.9196885391565023
2018-03-28,0.916737634509121
2018-03-29,0.914418957052521
2018-04-02,0.9094718464410038
2018-04-03,0.9059398688454711
2018-04-04,0.9028353331816391
2018-04-05,0.9072004830360945
2018-04-06,0.9046129253267052
2018-04-09,0.9125340961458045
2018-04-10,0.9168076404518134
2018-04-11,0.9201798746185113
2018-04-12,0.9206421736022953
2018-04-13,0.9227788742516856
2018-04-16,0.9287445533675827
2018-04-17,0.9297172715071982
2018-04-18,0.9374188884150331
2018-04-19,0.9346541797393476
2018-04-20,0.9335074722155062
2018-04-23,0.9299968616088945
2018-04-24,0.932330945538149
2018-04-25,0.9336365269697147
2018-04-26,0.9356785199763813
2018-04-27,0.9394046609367507
2018-04-30,0.939729242565753
2018-05-01,0.9351152639794884
2018-05-02,0.9351445010342637
2018-05-03,0.938031531436448
2018-05-04,0.938605904175726
2018-05-07,0.9374839511861807
2018-05-08,0.9353949736315972
2018-05-09,0.936588312981831
2018-05-10,0.9402567024836571
2018-05-11,0.9389597130383003
2018-05-14,0.9373255183119992
2018-05-15,0.9352781640799934
2018-05-16,0.9353026939617899
2018-05-17,0.9348070937055822
2018-05-18,0.9355712107175814
2018-05-21,0.9397059054611789
2018-05-22,0.9410507955145605
2018-05-23,0.9428058002115942
2018-05-24,0.9443796463404941
2018-05-25,0.9459428368773793
2018-05-29,0.9474315017080461
2018-05-30,0.9476099407783144
2018-05-31,0.9464892413950668
2018-06-01,0.9468238774533478
2018-06-04,0.9386814821279313
2018-06-05,0.9388501279862441
2018-06-06,0.9430686692056816
2018-06-07,0.9440157136432945
2018-06-08,0.9467713289373509
2018-06-11,0.9439809435958959
2018-06-12,0.9458795719426559
2018-06-13,0.9430275942214555
2018-06-14,0.9407950557313607
2018-06-15,0.935416086372959
2018-06-18,0.9328309467923238
2018-06-19,0.9234871308812893
2018-06-20,0.9256226041359473
2018-06-21,0.9210856371411361
2018-06-22,0.9282499818991172
2018-06-25,0.9179356961519779
2018-06-26,0.9196827352964027
2018-06-27,0.9201817080859883
2018-06-28,0.9204296768232958
2018-06-29,0.9273033849807685
2018-07-02,0.9280255216758949
2018-07-03,0.927018297851685
2018-07-05,0.9340009564698878
2018-07-06,0.9408383088985013
2018-07-09,0.9437163184224359
2018-07-10,0.9470376734727609
2018-07-11,0.9415501470125122
2018-07-12,0.9477448515751831
2018-07-13,0.9481480799369916
2018-07-16,0.9455699806984509
2018-07-17,0.9482859193337919
2018-07-18,0.9497196966915439
2018-07-19,0.9494052920967566
2018-07-20,0.9475973326517804
2018-07-23,0.9468410415715055
2018-07-24,0.9460662480186268
2018-07-25,0.9545137404788485
2018-07-26,0.9575163137517385
2018-07-27,0.9506806646705521
2018-07-30,0.9454896530901912
2018-07-31,0.9529003034343904
2018-08-01,0.9496652204792054
2018-08-02,0.9563997102201414
2018-08-03,0.9612937048095678
2018-08-06,0.9641042741225214
2018-08-07,0.9662777993230094
2018-08-08,0.9641535871133725
2018-08-09,0.963584099402086
2018-08-10,0.9584113051018254
2018-08-13,0.9547953844645192
2018-08-14,0.9612241404298906
2018-08-15,0.9565162096189731
2018-08-16,0.9640422452157814
2018-08-17,0.9687244157810156
2018-08-20,0.9716486501930731
2018-08-21,0.9732387196490841
2018-08-22,0.9714625043051449
2018-08-23,0.9704858324176525
2018-08-24,0.9763772408440843
2018-08-27,0.9803662524631063
2018-08-28,0.9809816456461914
2018-08-29,0.9851005900126604
2018-08-30,0.9804202157362055
2018-08-31,0.9819946308747306
2018-09-04,0.9821585591211068
2018-09-05,0.9820190468210306
2018-09-06,0.9824120867259798
2018-09-07,0.97920439435056
2018-09-10,0.9831364818968151
2018-09-11,0.9838155076905084
