year,ALI=F,BZ=F,CC=F,CL=F,CT=F,GC=F,GF=F,HE=F,HG=F,HO=F,KC=F,LE=F,NG=F,OJ=F,PA=F,PL=F,RB=F,SB=F,SI=F,TIO=F,ZC=F,ZS=F,ZW=F
2016,0.06634611669890796,0.015454870280099446,0.04011042519593337,0.014029992111060772,0.05364569593461909,0.09821021227128879,0.0788874669510458,0.04446850236926128,0.042985312572114284,0.0163539065816844,0.03290060010395586,0.06901247849841785,0.03951507571386106,0.05947327537031179,0.027088383483279323,0.03165159804956757,0.017813927854941812,0.03894950680907455,0.03342681407769988,0.04617546378751603,0.04614568617874026,0.04221154433695032,0.04514314476966839
2017,0.0916072058662752,0.028135480293246196,0.03293841774706655,0.02539683613840291,0.049215248159738365,0.07338604843841531,0.062256857748887375,0.03703602161061238,0.0452714560029896,0.02618250795785027,0.03391762000760271,0.06313779787336604,0.027084795717964325,0.05430633866212251,0.04435773686529784,0.05028191022020031,0.023255612741948747,0.03138161134910704,0.042087602012284314,0.031237513924878356,0.04472030485659918,0.05071799030219422,0.032087085502950155
2018,0.5879055774465886,0.010970215017662597,0.016926610406403034,0.010053816986217075,0.018728774766860343,0.03800607452142897,0.041657697333805414,0.014706022905837928,0.016711101415755235,0.014324753329297266,0.016013233107270278,0.028252867521953835,0.015449316591670698,0.029615387223679623,0.014202901236743745,0.017467969151585244,0.012186595156402422,0.015952615688709954,0.01678804033762985,0.0,0.023927057452846696,0.02391234239520777,0.016241030006443384
2019,0.07364765663691517,0.020055270230793395,0.055504107971743856,0.018061809094432765,0.03775030079350242,0.12048851251533978,0.07494602305968963,0.03138367577660946,0.048991810272378415,0.024286446819092325,0.03113299050956087,0.06081746080549271,0.03159146390387635,0.030662390728146614,0.02694396582761924,0.036065209870171776,0.018120904250814838,0.05535491530492701,0.04773181706717814,0.05197459224964004,0.03225573114988411,0.03993058292668335,0.03230236223550768
2020,0.10471552353711372,0.015002038426534244,0.0563748732091266,0.005263136858782128,0.051035204241508855,0.0681490432636857,0.05025975047804713,0.038932482445866334,0.04924166482962003,0.016495283846538575,0.03928385658120305,0.0482573782812166,0.028768950584747852,0.05341725195817403,0.019029094174736014,0.022412315296707327,0.012628265069492502,0.040661460749839756,0.023492758771127376,0.06872359872452054,0.05141411837516471,0.07459831980096848,0.06184363049527854
2021,0.0400856750155572,0.02416505080469389,0.05249452419949734,0.02227264851966211,0.03551986678860737,0.07773134374858316,0.11003013217952463,0.041356957711057296,0.029433972734093313,0.024682583916588806,0.03065831752006316,0.10705780129917296,0.03672226138084175,0.05091581616241437,0.02294313092173138,0.027039518081516455,0.025710832375695134,0.03535380339310658,0.03136600245297441,0.05929726164957031,0.03478649790931046,0.03969465521272586,0.04068134602301193
2022,0.03246507378622012,0.017162966074646787,0.06486003996375568,0.01618357806009619,0.031620496195702334,0.058830895410034924,0.18231226827462502,0.052286466711111534,0.02956494277096621,0.017754798900669062,0.033525650282982385,0.11367543180401786,0.018774962441422786,0.03866712699415883,0.018508858490778966,0.025141788396723767,0.017525948989833888,0.05230528986705168,0.028140007696252575,0.04700296073377163,0.04110497578015205,0.03581780328649798,0.026767669088527863
2023,0.04484442631414253,0.024069949370544876,0.06901632071506021,0.022089058076667646,0.046503649699813944,0.08793666036311233,0.06650366942409773,0.03183830743983399,0.038244890129755134,0.02277536822229373,0.031144970212410823,0.07920638793470197,0.02102599207148098,0.04886757466127437,0.02235688684701949,0.032337075480264044,0.024667569406904517,0.03600201657356844,0.035610174819605954,0.0815001403174035,0.043921477091049425,0.05120746878376449,0.03832996604522982
2024,0.03890252711679092,0.025975037776556475,0.027173132391857133,0.024499625721291426,0.05162695741083225,0.0565315110423017,0.08525838039029465,0.053951681170182696,0.03076704460209227,0.027314854514881477,0.043711040698759966,0.07949370669687596,0.026414465670272586,0.05373673853628,0.021143142913206774,0.03228497319510535,0.027683376206129175,0.04503118104579355,0.02269768252588399,0.055936117881855756,0.05489922679280449,0.055776836837847205,0.05919075886210416
