year,ALI=F,CC=F,CT=F,GC=F,GF=F,HE=F,HG=F,KC=F,LE=F,OJ=F,PA=F,PL=F,SB=F,SI=F,TIO=F,ZC=F,ZS=F,ZW=F
2016,0.08941784544714297,0.052934056265512015,0.05770050307374306,0.09595457266895524,0.08033757034881114,0.04837651487921691,0.05350663519546433,0.03799239866865043,0.07676022032339709,0.05777927832472959,0.0324989627690286,0.03603057354729472,0.044033810648198404,0.03618332694886658,0.05088953475054548,0.05115328486345693,0.050201827661605976,0.04824908361538051
2017,0.09970225621842937,0.03842571284528343,0.05534232670844436,0.0857470963166493,0.0725161472452988,0.04038717121253967,0.053553745064317294,0.03895016688483024,0.06694911071586554,0.06227553113469998,0.051809872620456845,0.057050104261687336,0.0369045494250337,0.04818345301703664,0.04026200935139319,0.054824850354275985,0.058316235978678195,0.03879966064508024
2018,0.5810272943791506,0.019382778135436263,0.022489937079082523,0.038799742676778354,0.03851935528821772,0.013740115505785992,0.018855552349833,0.016298225928605452,0.02931044177517829,0.03323244387913881,0.015408801959571878,0.018820252829154838,0.01678697656582226,0.018214820474323715,0.05714245067655584,0.02463220843655016,0.021753959668409706,0.015584642392404549
2019,0.08497186997792375,0.06540788189077801,0.04535253603462612,0.1190727337866085,0.08091082429403881,0.03274659303445,0.059968338764342106,0.03769353266726493,0.06858018846880147,0.03495629115491913,0.03292314182893739,0.04185571227854362,0.06240111384599293,0.051822168871502275,0.058797029802183993,0.03769134049846279,0.04912296987450969,0.03572573292611458
2020,0.119315726831775,0.059547100451828205,0.057138016156326715,0.0704964596010773,0.05328141699862271,0.035632467191671804,0.05811424422388189,0.04345723522464204,0.050463308667724784,0.054847463712047344,0.02104478505623111,0.024392881137612087,0.048710017755627076,0.024865660188949566,0.07527917706039003,0.05959271797905338,0.07977156591755469,0.06404975584498435
2021,0.04846167283577038,0.06315976864781883,0.0446351802380782,0.0830562183930449,0.12565019316307455,0.049673123433561825,0.035708646717652344,0.03564443021507381,0.11849294901578555,0.05604742237675956,0.02675679685787794,0.03134249859490633,0.045687416266210326,0.03655910847302421,0.06481484989411505,0.041115003483958544,0.048150801908555065,0.045043919484732596
2022,0.03880879170564795,0.07231005189510727,0.03676467611292301,0.06703905979920598,0.1827139951824603,0.05561214999463926,0.03417777376242203,0.03836964689714611,0.11638224673569471,0.04203614877565462,0.021385684090952675,0.02975022852882207,0.05933362287107908,0.03125034699737898,0.052476016888338854,0.04868589006783953,0.041581923543324,0.03132174615136367
2023,0.054607496944956986,0.07975871888671007,0.05659266232738983,0.09334918381860931,0.07490957572342181,0.037932318295960485,0.04547782868230251,0.03557681282769536,0.09413626619992038,0.0523467059824339,0.025048059422347276,0.03580574366412177,0.04249466224855282,0.03827603911047451,0.08246463373889124,0.04734476395654262,0.06183014976507342,0.042048378404595806
2024,0.04538450301503061,0.02806718062441218,0.06521635287564309,0.06853115531920782,0.09758901467825698,0.06281444286652098,0.036374525746413644,0.04616409779876104,0.0980217198516811,0.05229048732112845,0.02428100172371001,0.03671871203839995,0.052461442462750044,0.027623240178982017,0.06488534508707046,0.06268439256611617,0.06757580602968113,0.06331657981623443
