Date,Daily Returns
2018-01-02,1.004281901280521
2018-01-03,1.008498429388301
2018-01-04,1.010564699880151
2018-01-05,1.0155811589498875
2018-01-08,1.0192943154837877
2018-01-09,1.019086011233367
2018-01-10,1.0148789548553239
2018-01-11,1.0210508698732315
2018-01-12,1.0254766513402795
2018-01-16,1.0215696451648264
2018-01-17,1.0308838959740525
2018-01-18,1.0286577613736483
2018-01-19,1.0344191999812316
2018-01-22,1.0399486600239878
2018-01-23,1.0434315941689447
2018-01-24,1.043425245414872
2018-01-25,1.0455386854654474
2018-01-26,1.054288392743248
2018-01-29,1.0465674161730512
2018-01-30,1.0380284274172866
2018-01-31,1.0392060554305156
2018-02-01,1.035482483538809
2018-02-02,1.0166328152660178
2018-02-05,0.9816719468711909
2018-02-06,0.9902699895165982
2018-02-07,0.9873441264962401
2018-02-08,0.9558796357104589
2018-02-09,0.9696715229539018
2018-02-12,0.9806470863461269
2018-02-13,0.9837112413177124
2018-02-14,0.9943319476000093
2018-02-15,1.006200688476752
2018-02-16,1.0082300785782397
2018-02-20,1.0013879050145602
2018-02-21,0.9947621801434205
2018-02-22,0.9957986496979483
2018-02-23,1.011297446297409
2018-02-26,1.0183910846956978
2018-02-27,1.005388084288984
2018-02-28,0.9967274654856872
2018-03-01,0.9931128742243897
2018-03-02,0.9927100499363443
2018-03-05,1.0013833206319578
2018-03-06,1.00379306502941
2018-03-07,0.9963468155829088
2018-03-08,0.9941705717335572
2018-03-09,0.9981155021726436
2018-03-12,0.9958804907861893
2018-03-13,0.9967976692129125
2018-03-14,0.9977231404256425
2018-03-15,0.99309850269817
2018-03-16,0.9914905768555866
2018-03-19,0.9828022100949038
2018-03-20,0.9837889996288354
2018-03-21,0.9868000618464635
2018-03-22,0.9828640253023617
2018-03-23,0.9802784056004016
2018-03-26,0.9819288124820951
2018-03-27,0.9796781756268931
2018-03-28,0.9767235364625902
2018-03-29,0.9805358205355361
2018-04-02,0.9752310101623978
2018-04-03,0.9714436536921707
2018-04-04,0.9681146452478623
2018-04-05,0.9727954163208156
2018-04-06,0.9700207658073753
2018-04-09,0.9785146751685965
2018-04-10,0.9830972171727528
2018-04-11,0.9867132800004816
2018-04-12,0.9872090054156809
2018-04-13,0.9895001997431139
2018-04-16,0.995897225997322
2018-04-17,0.996940276311285
2018-04-18,1.005198756968602
2018-04-19,1.0022341466335276
2018-04-20,1.0010045266741612
2018-04-23,0.9972400821273913
2018-04-24,0.9997429314924344
2018-04-25,1.0011429127090727
2018-04-26,1.0033325515760598
2018-04-27,1.0073281103510985
2018-04-30,1.0076761607843265
2018-05-01,1.0027285694375767
2018-05-02,1.0027599204715647
2018-05-03,1.005855696999065
2018-05-04,1.0064715996336164
2018-05-07,1.0052685240697503
2018-05-08,1.003028503436338
2018-05-09,1.004308126954261
2018-05-10,1.0082417585776648
2018-05-11,1.006850990572995
2018-05-14,1.0050986357443858
2018-05-15,1.0029032480349094
2018-05-16,1.002929551556962
2018-05-17,1.0023981170407334
2018-05-18,1.0032174833481444
2018-05-21,1.0076511363410081
2018-05-22,1.0090932683921965
2018-05-23,1.010975168312218
2018-05-24,1.0126628110312068
2018-05-25,1.0143390277139108
2018-05-29,1.015935330076757
2018-05-30,1.016126671174655
2018-05-31,1.0149249398629032
2018-06-01,1.0152837717603624
2018-06-04,1.006552642415601
2018-06-05,1.006733482181633
2018-06-06,1.0112570441098605
2018-06-07,1.012272564380644
2018-06-08,1.0152274238552415
2018-06-11,1.0122352803439374
2018-06-12,1.0142711886145936
2018-06-13,1.0112129992517092
2018-06-14,1.0088190376101347
2018-06-15,1.0030511431025375
2018-06-18,1.0002790855769896
2018-06-19,0.9902596671490099
2018-06-20,0.9925495453289032
2018-06-21,0.9876845339264043
2018-06-22,0.9953668950363614
2018-06-25,0.9843068371150174
2018-06-26,0.9861801955356999
2018-06-27,0.986715246375555
2018-06-28,0.9869811444815568
2018-06-29,0.9943518545590585
2018-07-02,0.9951262051318455
2018-07-03,0.9940461542346092
2018-07-05,1.0015336924209743
2018-07-06,1.0088654181245917
2018-07-09,1.011951521482838
2018-07-10,1.0155130263538539
2018-07-11,1.0096287254287624
2018-07-12,1.0162713367640368
2018-07-13,1.016703720446081
2018-07-16,1.013939212305499
2018-07-17,1.0168515262449285
2018-07-18,1.0183889725583992
2018-07-19,1.0180518349967689
2018-07-20,1.0161131514862418
2018-07-23,1.0153021769337676
2018-07-24,1.01447136209736
2018-07-25,1.0235296486622194
2018-07-26,1.0267493223219075
2018-07-27,1.0194194231424338
2018-07-30,1.0138530766537632
2018-07-31,1.021799552408536
2018-08-01,1.0183305574846193
2018-08-02,1.025551983040039
2018-08-03,1.0307998368427322
2018-08-06,1.0338136237579412
2018-08-07,1.03614430522483
2018-08-08,1.0338665023138593
2018-08-09,1.0332558379175973
2018-08-10,1.0277090258516783
2018-08-13,1.0238316568599508
2018-08-14,1.030725242625728
2018-08-15,1.025676905902539
2018-08-16,1.0337471098646043
2018-08-17,1.0387678237531544
2018-08-20,1.0419034942977106
2018-08-21,1.0436085333795482
2018-08-22,1.0417038891718835
2018-08-23,1.0406565992362073
2018-08-24,1.0469739846662334
2018-08-27,1.0512514209018802
2018-08-28,1.0519113099550848
2018-08-29,1.0563280736971938
2018-08-30,1.0513092859776922
2018-08-31,1.0529975388600263
2018-09-04,1.0531733199025664
2018-09-05,1.0530237201960078
2018-09-06,1.0534451787657115
2018-09-07,1.0500055548914664
2018-09-10,1.0542219511716584
2018-09-11,1.054950073777527
2018-09-12,1.0568755962451404
