year,BTC-USD,LTC-USD,ADA-USD,BCH-USD,BNB-USD,DASH-USD,DOGE-USD,ETC-USD,ETH-USD,FIL-USD,LINK-USD,TRX-USD,XLM-USD,XMR-USD,XRP-USD,ZEC-USD,VET-USD,ATOM-USD,AAVE-USD,AVAX-USD,DOT-USD,NEAR-USD,SOL-USD,TON-USD,ICP-USD,SHIB-USD
2016,0.015500392325055122,0.015500393043411425,,,,,,,,,,,,,,,,,,,,,,,,
2017,0.031084978058637844,0.031084977601274304,,,,,,,,,,,,,,,,,,,,,,,,
2018,0.0038112310937496144,0.003811194477018598,0.0038112120389182966,0.003811224864527016,0.003811242921456932,0.0038112282188883955,0.0038112167940154,0.0038112346368872527,0.0038112415293303638,0.0038112513455582937,0.003811225931013049,0.003811223645366956,0.0038112461288242055,0.0038112235718419556,0.003811220906425923,0.003811218641736945,,,,,,,,,,
2019,0.0023457738172465905,0.0023457986683807722,0.0023457718631185428,0.0023457641493838414,0.0023458336851427146,0.0023458279201356565,0.0023457502508360687,0.002345817638360138,0.002345863303371489,0.0023458678510313285,0.002345814815643954,0.00234586523336464,0.002345814408789488,0.002345827727583403,0.0023458474996111913,0.002345816484312977,0.0023457915229734266,,,,,,,,,
2020,0.002933950355354732,0.002933968074035007,0.0029339488191819454,0.0029339608373419243,0.0029339610541973668,0.002933962888347777,0.002933958453943909,0.002933964221599569,0.002933962623506233,0.002933951959722138,0.0029339581827412847,0.002933961082278588,0.0029339596320153497,0.0029339531109108395,0.00293396126858924,0.002933960264272064,0.002933963091589741,0.0029339590724756994,,,,,,,,
2021,0.002569034726997632,0.0025690197340283937,0.0025690355770540225,0.002569031623471796,0.0025690322109421224,0.002569024817191574,0.0025690317261729398,0.0025690274069129133,0.0025690544750198397,0.0025690448163666496,0.0025690370690669845,0.002569041631534901,0.002569027569284921,0.002569021235751467,0.002569045671970823,0.002569028752305931,0.0025690327863749566,0.0025690233446014937,0.002569039549697839,0.0025690353390669766,0.002569052364472664,0.0025690339180533288,0.002569032708435427,0.002569040762944436,,
2022,0.0019033249032269538,0.0019033681243879545,0.001903323054838694,0.0019033588788998448,0.0019033722622503588,0.0019033303609191975,0.0019033395160268439,0.001903320856612696,0.001903337660799895,0.001903320845562859,0.0019033509189085257,0.0019033253627882944,0.001903326492319205,0.0019033089055040947,0.0019033276999029867,0.0019033369307302486,0.0019033259706204,0.0019033310124892924,0.001903341092758639,0.001903309451370507,0.0019033353547942265,0.0019033662702273274,0.0019033366048988194,0.0019033226785198842,0.0019033514223997438,0.0019033202255182848
2023,0.0011664107701876746,0.0011664184970070028,0.0011664371625060331,0.001166400086057279,0.0011664194217123642,0.0011664415599924086,0.001166443906893099,0.0011664058128655,0.0011663946853078954,0.001166428630666267,0.0011664296690539555,0.0011664250623111129,0.0011664395860699747,0.0011664258698644576,0.0011664321507423316,0.0011664296836164194,0.0011663802785816272,0.0011664407140563268,0.0011663725623870546,0.0011664115866735559,0.0011664148191127149,0.001166430497633367,0.0011664259161652483,0.0011664019927961596,0.0011664106449925317,0.00116646090420505
2024,0.0015130589654861312,0.001513077848729897,0.0015130716860472413,0.0015130745182554924,0.001512971472241382,0.0015130792566983584,0.0015130369427326748,0.0015130883882566372,0.0015130768828656134,0.001513090499754115,0.001513100593642554,0.0015131033700988203,0.0015130728711718168,0.0015130656944504226,0.0015130966686847521,0.0015130799889266015,0.00151307883881662,0.0015130733874515953,0.0015130929029567417,0.00151305274823504,0.0015130760017004234,0.001513028487802126,0.0015130905473775531,0.0015131031616301362,0.0015130766009245386,0.001513060616652172
